"AreaName","AreaCode","Group","Year","Production","Imports.primary","Imports.standardized","Imports.total","Exports.primary","Exports.standardized","Exports.total","Domestic.supply","Imports.sd","Exports.sd","Industrial.use","Losses","Seed.use","Feed.use","Food.use","Stock.change"
"Armenia",1,"Butter and ghee",2007,3.83166811746919,0,54.5427148334937,54.5427148334937,0,0.00492059632565171,0.00492059632565171,58.3694623546372,54.5427148334937,0.00492059632565171,0,0.19158340587346,0,0,22.7940623997801,0
"Afghanistan",2,"Butter and ghee",2007,24.2744612017716,0,0,0,0,0,0,24.2744612017716,0,0,0,1.21372306008858,0,0,27.5903688996541,0
"Albania",3,"Butter and ghee",2007,22.4230147370607,0,33.6635580817303,33.6635580817303,0,0.00126970638375202,0.00126970638375202,56.0853031124072,33.6635580817303,0.00126970638375202,0,1.12115073685304,0,0,35.8782093995275,0
"Algeria",4,"Butter and ghee",2007,1.31430727599947,0,27.975972780603,27.975972780603,0,0.000100792191972073,0.000100792191972073,29.2901792644105,27.975972780603,0.000100792191972073,0,0.0657153637999735,0,0,9.70941199751296,0
"Angola",7,"Butter and ghee",2007,0.585168318756675,0,0,0,0,0,0,0.585168318756675,0,0,0,0.0292584159378338,0,0,1.28256547122344,0
"Argentina",9,"Butter and ghee",2007,26.5737333617074,0,0.329150323547171,0.329150323547171,0,37.7661104076641,37.7661104076641,-10.8632267224095,0.329150323547171,37.7661104076641,0,1.32868666808537,0,0,22.5268924125868,0
"Australia",10,"Butter and ghee",2007,126.527208344778,0,53.6676921944759,53.6676921944759,0,241.457145175945,241.457145175945,-61.2622446366913,53.6676921944759,241.457145175945,0,6.3263604172389,0,0,87.6815748717889,0
"Austria",11,"Butter and ghee",2007,83.8392136185251,0,124.326108820911,124.326108820911,0,41.474774052532,41.474774052532,166.690548386904,124.326108820911,41.474774052532,0,4.19196068092625,0,0,120.273807777446,0
"Bahrain",13,"Butter and ghee",2007,0,0,127.000213534388,127.000213534388,0,12.2125340002124,12.2125340002124,114.787679534176,127.000213534388,12.2125340002124,0,0,0,0,0,0
"Bangladesh",16,"Butter and ghee",2007,3.5475543665582,0,0.357323337546392,0.357323337546392,0,0.000421594848401434,0.000421594848401434,3.90445610925619,0.357323337546392,0.000421594848401434,0,0.17737771832791,0,0,3.87794407091857,0
"Bhutan",18,"Butter and ghee",2007,0,0,31.2142354341935,31.2142354341935,0,0,0,31.2142354341935,31.2142354341935,0,0,0,0,0,0,0
"Bolivia.(Plurinational.State.of)",19,"Butter and ghee",2007,1.5579360315312,0,0.729123474132675,0.729123474132675,0,5.97493810518328,5.97493810518328,-3.68787859951941,0.729123474132675,5.97493810518328,0,0.07789680157656,0,0,0,0
"Botswana",20,"Butter and ghee",2007,11.3467966722701,0,9.39891202308142,9.39891202308142,0,0.18795551600558,0.18795551600558,20.5577531793459,9.39891202308142,0.18795551600558,0,0.567339833613505,0,0,11.8632282985801,0
"Brazil",21,"Butter and ghee",2007,9.25647275901472,0,0.435728355833929,0.435728355833929,0,1.55995610068345,1.55995610068345,8.13224501416521,0.435728355833929,1.55995610068345,0,0.462823637950736,0,0,10.1635130360025,0
"Belize",23,"Butter and ghee",2007,0,0,18.7604150212345,18.7604150212345,0,0,0,18.7604150212345,18.7604150212345,0,0,0,0,0,0,0
"Brunei.Darussalam",26,"Butter and ghee",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6275123143854,0
"Bulgaria",27,"Butter and ghee",2007,5.44808630336226,0,17.7437967201655,17.7437967201655,0,11.4776954565878,11.4776954565878,11.71418756694,17.7437967201655,11.4776954565878,0,0.272404315168113,0,0,9.01153597452631,0
"Myanmar",28,"Butter and ghee",2007,8.52945312451068,0,0,0,0,0,0,8.52945312451068,0,0,0,0.426472656225534,0,0,9.83292624720491,0
"Burundi",29,"Butter and ghee",2007,0.28328530259366,0,0.0797777342649981,0.0797777342649981,0,0.0208087608069164,0.0208087608069164,0.342254276051742,0.0797777342649981,0.0208087608069164,0,0.014164265129683,0,0,0,0
"Cameroon",32,"Butter and ghee",2007,0,0,1.5701800815118,1.5701800815118,0,0,0,1.5701800815118,1.5701800815118,0,0,0,0,0,0,0
"Canada",33,"Butter and ghee",2007,50.2321781511293,0,37.5046291631956,37.5046291631956,0,31.4710946117116,31.4710946117116,56.2657127026133,37.5046291631956,31.4710946117116,0,2.51160890755646,0,0,57.163670099976,0
"Cape.Verde",35,"Butter and ghee",2007,0,0,22.94851626401,22.94851626401,0,0.0531408038039171,0.0531408038039171,22.895375460206,22.94851626401,0.0531408038039171,0,0,0,0,0,0
"Central.African.Republic",37,"Butter and ghee",2007,0,0,0.201924371020409,0.201924371020409,0,0,0,0.201924371020409,0.201924371020409,0,0,0,0,0,0,0
"Sri.Lanka",38,"Butter and ghee",2007,0.623714648533176,0,4.37364746983562,4.37364746983562,0,0.00647381379525332,0.00647381379525332,4.99088830457354,4.37364746983562,0.00647381379525332,0,0.0311857324266588,0,0,2.2380142046873,0
"Chad",39,"Butter and ghee",2007,0.866077006438126,0,0,0,0,0,0,0.866077006438126,0,0,0,0.0433038503219063,0,0,0,0
"Chile",40,"Butter and ghee",2007,21.980497420772,0,2.39596406326676,2.39596406326676,0,10.9330495550294,10.9330495550294,13.4434119290094,2.39596406326676,10.9330495550294,0,1.0990248710386,0,0,23.1692001475958,0
"Colombia",44,"Butter and ghee",2007,9.12420629032427,0,0.116184775458586,0.116184775458586,0,0.532740449008944,0.532740449008944,8.70765061677391,0.116184775458586,0.532740449008944,0,0.456210314516214,0,0,10.2108329326176,0
"Congo",46,"Butter and ghee",2007,0,0,4.35296344500444,4.35296344500444,0,0.327751001104199,0.327751001104199,4.02521244390024,4.35296344500444,0.327751001104199,0,0,0,0,0,0
"Costa.Rica",48,"Butter and ghee",2007,27.0214457380164,0,1.82197439402822,1.82197439402822,0,5.76289976114107,5.76289976114107,23.0805203709035,1.82197439402822,5.76289976114107,0,1.35107228690082,0,0,30.5418985325308,0
"Cuba",49,"Butter and ghee",2007,2.24078124128836,0,0,0,0,0,0,2.24078124128836,0,0,0,0.112039062064418,0,0,6.03028194791563,0
"Cyprus",50,"Butter and ghee",2007,0,0,74.4076474841171,74.4076474841171,0,16.8806325432029,16.8806325432029,57.5270149409142,74.4076474841171,16.8806325432029,0,0,0,0,21.3716671606593,0
