Category,Domestic.supply,Feed,Seed,Loss,Bio,dStock,Food
Alcoholic bevergaes,,,,,,,num
Cereals,,num,num,num,num,num,num
Dairy and Eggs,,num,,num,,,num
Fruit and Nuts,,num,,num,,,num
Meat and Fish,,,,num,,,num
GRAND TOTAL,,,,,,,num
Pulses,,num,num,num,,num,num
Roots and Tubers,,num,num,num,num,,num
Stimulants and Spices,,,,num,,num,num
Sugar,,num,,num,num,num,num
Vegetable Oils and Animal Fats,,,,num,num,num,num
Vegetables (inc. melons),,num,,num,,,num
