"","Imports","Exports","Feed","Seed","Losses","Industrial","Food","Stock","Production"
"dates",0.381251393522772,2.3279823843206,0,0,5.66276349872619,0,130.692877362909,9.51321575706257,147.815587609496
"fruits.and.products..other",3.17632983507329,6.48095432924821,0,0,2.76013615228285,0,32.9519482375951,17.814666547428,56.8313754314809
"grapes.and.products",0.488150408491541,2.89654502007201,0,0,1.20765676115734,0,31.2691177389813,0.175402313361339,35.0605714250804
"nuts.and.products",3.199075959337,0.498246454712488,0,0,6.62302542088246,0,11.2799229975383,-5.93110596116796,9.27101295262828
"pineapples.and.products",0.0890110607233903,0.0163738437832702,0,0,1.30116410689089,0,1.44235232969996,-2.67087921965073,0
"aquatic.animals..others",0.00229075917277416,0.00460812516048098,0,0,9.22178654105097,0,7.0755682132462,-16.2996721202849,0
"bovine.meat.and.offal",16.4793933123168,0.143297043704216,0,0,2.57114648973751,0,61.6693809099004,-0.617700726861194,47.2867304041641
"cephalopods",0.267420279117947,0.0138816268926364,0,0,3.75722874921059,0,3.8740691209669,-7.37775921795218,0
"crustaceans",0.363661361510684,0.00361348074206288,0,0,1.5479138151329,0,1.27101403145349,-2.45887996581776,0
"demersal.fish",0.0191507132512635,0.0166636875205335,0,0,6.29545074632425,0,11.1302227755391,-17.4231864961326,0
"freshwater.fish",0.0651524395001944,0.092383929687538,0,0,0.962923502312516,0,47.3182670707978,-48.3084220632976,0
"marine.fish..other",2.67255049290115,0.338777179619382,0,0,6.42935969228618,0,5.2948973919318,-9.39048377093621,0
"meat.and.offal..other",0.0226344344485797,0.00108361221375284,0,0,1.06581091088719,0,8.63395535147895,-4.13532641902625,5.54288902110507
"molluscs",0.00755157797060851,0.000103454593392285,0,0,0.811370537174419,0,6.58751478282752,-7.39143719662472,0
"ovine.meat.and.offal",0.159495785287056,0.0098752155729017,0,0,1.63623207727703,0,11.7892196351848,-5.92419704825868,7.35163409448902
"pelagic.fish",9.5669058507056,0.0731709756312887,0.550771350227949,0,0.158824093871715,0,13.8183830685703,-5.03424363759567,0
"pigmeat.and.offal",0.126642735024063,0.00175040134738106,0,0,1.2217721243152,0,2.72135254964706,-3.78770413586405,0.030528204421534
"poultry.meat.and.offal",8.27831978799749,0.165390080892274,0,0,9.12963774460314,0,86.0456393774044,-31.7352384013396,55.3271090135627
"coconuts..including.copra",4.43232904110118,2.72816548374816,0,4.37488155341029,2.38815501785971,7.79400777282339,2.33455824041343,-15.1874390271538,0
"cottonseed",0.00824341143101319,0.0118014738899243,0,1.37924391138615,5.10083682254152,46.8971998642268,14.4513798118385,-11.6969556577111,56.1352628147408
"groundnuts",1.46231771551257,5.90176674697239,0,6.8350380012432,7.14805621785481,30.9106880722253,29.3018055516861,-37.2798945722739,41.3551423021953
"oilcrops..other",6.47050964945867,2.19870536928873,0,0.808633397031844,0.399217852333364,12.0720713798041,19.4821995665566,-21.061733645443,7.42858427011292
"rape.and.mustard.seed",0.0565223234560194,0.0362600842465244,0,5.07019335121798,7.6584972881479,5.75885479936152,6.50132340376368,-24.9686066032816,0
"soybeans",278.953285477853,0.135442153702711,0,6.21558347356841,11.9308747680763,279.629561254175,11.6972076422279,-28.1845325615179,2.47085125237879
"sunflower.and.safflower.seed",16.9138236813444,0.409832565547984,0,1.28913502104647,6.77328692347125,21.2429953650972,1.92689213399791,-10.5734557570382,4.15486257077818
"beans",42.383643264484,10.3241765645674,6.22033121640601,1.07713834803905,2.1845443165309,0,5.01538309529528,24.9167186606049,7.35464893695956
