AreaCode,Area,Category,Year,Production,Imports.primary,Imports.standardized,Imports.total,Exports.primary,Exports.standardized,Exports.total,Domestic.supply,Imports.sd,Exports.sd,Feed,Seed,Loss,Bio,dStock,Food
1,Armenia,Cereals,2007,1375.954292,2475.17199,106.7303612,2581.902352,0.043408492,3.286553202,3.329961695,3954.526682,8.717742916,0.516313363,2103.146511,133.8471604,36.5557514,326.5701191,0,1230
1,Armenia,Cereals,2008,1264.976766,1239.658354,159.7497552,1399.40811,107.9702346,2.857798111,110.8280327,2553.556843,9.817549285,0.397609673,2088.98851,130.3728074,33.63049009,103.2365084,0,1191
1,Armenia,Cereals,2009,1142.740555,1454.707428,89.14019755,1543.847625,0.000164319,2.406435577,2.406599896,2684.18158,7.021921895,0.299847869,2051.947863,126.8274765,30.48546788,108.3048851,0,1110
1,Armenia,Cereals,2010,998.678482,1476.908506,90.74544882,1567.653955,0.123911728,2.163209791,2.287121519,2564.045315,8.487637316,0.291758113,2028.752415,121.7927343,26.53429638,108.3964487,0,1105
1,Armenia,Cereals,2011,1350.352055,1379.090546,160.5441267,1539.634672,0.075700175,7.264980031,7.340680206,2882.646047,11.04238353,1.130954886,1968.733827,119.062866,36.11484404,117.2553769,0,1133
1,Armenia,Cereals,2012,1397.865183,2083.348783,107.1376616,2190.486445,0.082265044,10.60720466,10.6894697,3577.662158,8.587843695,1.549552827,2117.979598,130.7428862,37.19995892,312.549649,0,0
1,Armenia,Dairy and Eggs,2007,430.5528339,0.135425391,39.47084969,39.60627508,0.001744893,6.075614021,6.077358914,464.0817501,1.024483437,0.481940144,0,0,2.351081213,0,0,397
1,Armenia,Dairy and Eggs,2008,449.7386206,0.1378531,42.9317361,43.0695892,0,1.891782806,1.891782806,490.916427,0.922463414,0.404016627,0,0,2.463416217,0,0,396
1,Armenia,Dairy and Eggs,2009,427.1867111,0.165538833,33.55792139,33.72346023,0.011837339,1.624443844,1.636281183,459.2738902,0.937483118,0.443218613,0,0,2.358398895,0,0,416
1,Armenia,Dairy and Eggs,2010,424.8310709,0.173841703,42.91366094,43.08750264,0,1.85987619,1.85987619,466.0586973,1.252099085,0.434158386,0,0,2.361568104,0,0,458
1,Armenia,Dairy and Eggs,2011,420.4795168,0.190675776,51.33041809,51.52109387,0,11.47713051,11.47713051,460.5234801,1.552733198,0.557468369,0,0,2.326181373,0,0,456
1,Armenia,Dairy and Eggs,2012,431.0296086,0.184103265,50.93702657,51.12112984,0,11.70944903,11.70944903,470.4412894,1.161285383,0.765857176,0,0,2.383401247,0,0,0
1,Armenia,Fruit and Nuts,2007,302.8084508,19.4234761,18.86287041,38.28634651,2.147474054,55.69641085,57.84388491,283.2509124,1.424887719,4.037997864,0,0,10.82952795,0,0,153
1,Armenia,Fruit and Nuts,2008,271.7186408,13.24029793,17.37416199,30.61445992,4.821917437,60.68386715,65.50578459,236.8273161,1.555485713,3.808504477,0,0,9.942545745,0,0,181
1,Armenia,Fruit and Nuts,2009,294.378146,16.30212944,40.36800716,56.6701366,8.094392916,37.96184827,46.05624118,304.9920415,1.604530222,3.530047301,0,0,10.72895902,0,0,207
1,Armenia,Fruit and Nuts,2010,243.0168163,17.60220394,22.13547176,39.73767571,5.534543169,46.91467203,52.4492152,230.3052768,1.895680889,3.540429902,0,0,7.698149401,0,0,131
1,Armenia,Fruit and Nuts,2011,277.681413,19.23860276,25.21463613,44.45323889,8.107194592,57.60702954,65.71422413,256.4204277,3.31302451,4.823720306,0,0,9.457943662,0,0,134
1,Armenia,Fruit and Nuts,2012,320.6231025,18.59897902,24.80904243,43.40802146,14.20978368,75.00851511,89.21829879,274.8128251,1.445966962,5.950553262,0,0,11.42101066,0,0,0
1,Armenia,GRAND TOTAL,2007,3025.573776,2823.896903,687.4252888,3511.322191,4.349639619,81.78220467,86.13184429,6450.764123,43.34406111,8.066194062,2103.146511,217.9288335,101.233728,326.5701191,0,2791
1,Armenia,GRAND TOTAL,2008,2947.704997,1608.986771,803.3744194,2412.36119,115.5392359,70.50640686,186.0456427,5174.020544,48.49823534,6.644522381,2088.98851,222.0193485,100.0449488,103.2365084,0,2833
1,Armenia,GRAND TOTAL,2009,2808.580893,1798.460536,668.8918457,2467.352382,12.72591069,46.39725554,59.12316623,5216.810109,52.98615768,5.809964453,2051.947863,212.5961276,96.75914517,108.3048851,0,2784
1,Armenia,GRAND TOTAL,2010,2465.269499,1836.180339,601.4377069,2437.618046,9.311253553,65.63709408,74.94834764,4827.939197,50.86482355,6.071568686,2028.752415,197.8643644,80.40599387,108.3964487,0,2786
1,Armenia,GRAND TOTAL,2011,2960.461616,1786.936064,805.7398933,2592.675957,12.47806937,99.37321536,111.8512847,5441.286288,50.52855448,10.59367486,1968.733827,196.0343164,98.0612908,117.2553769,0,2809
1,Armenia,GRAND TOTAL,2012,3193.876852,2483.73673,703.5000467,3187.236777,19.45564941,140.6968436,160.152493,6220.961136,45.04212811,13.95514378,2117.979598,214.4565499,108.5223694,312.549649,0,0
1,Armenia,Meat and Fish,2007,126.6227598,58.80771248,23.43784339,82.24555588,1.788723842,1.690765189,3.479489031,205.3888267,6.21222352,0.395624842,0,0,2.678428999,0,0,218
1,Armenia,Meat and Fish,2008,129.4067309,103.6409334,19.33113926,122.9720727,1.459372901,1.175758917,2.635131819,249.7436718,4.932107184,0.238275654,0,0,2.683117582,0,0,262
1,Armenia,Meat and Fish,2009,130.3777129,67.72243211,16.45045457,84.17288668,0.594749111,0.730420046,1.325169157,213.2254304,4.512980374,0.181198945,0,0,2.817320224,0,0,228
1,Armenia,Meat and Fish,2010,128.2404673,49.43719873,11.96340223,61.40060096,0.948204316,0.833255852,1.781460169,187.8596081,2.601971771,0.188950207,0,0,2.714710781,0,0,229
1,Armenia,Meat and Fish,2011,132.0673779,92.88956911,17.77374071,110.6633098,2.370542497,0.89030422,3.260846717,239.469841,4.778000296,0.20563074,0,0,2.820465987,0,0,235
1,Armenia,Meat and Fish,2012,133.3575668,86.54170997,16.31435368,102.8560636,3.203110787,1.622413164,4.825523951,231.3881065,5.002065088,0.337609832,0,0,2.83389298,0,0,0
